,County,Precinct,G16PRERTRU,G16PREDCLI,G16PRELJOH,G16PREGSTE,G16PREIMCM,G16PRECCAS,G16PRESLAR,G16PREAROC,G16SOSRESP,G16SOSDOLI,G16SSCRNAK,G16SSCDVIG,G16SACRFRE,G16SACDVAR,COUNTYFP
265,Bernalillo,Precinct 374,76,259,35,13,0,0,0,0,72,306,168,209,112,265,001
266,Bernalillo,Precinct 375,178,508,77,14,0,0,0,0,194,557,373,372,272,459,001
267,Bernalillo,Precinct 381,35,312,25,12,0,0,0,0,45,326,124,240,74,283,001
268,Bernalillo,Precinct 382,64,252,23,6,0,0,0,0,70,275,156,184,98,239,001
269,Bernalillo,Precinct 383,62,306,31,15,0,0,0,0,61,346,138,257,92,301,001
270,Bernalillo,Precinct 384,94,343,43,16,0,0,0,0,106,383,208,275,157,320,001
271,Bernalillo,Precinct 385,63,307,39,9,0,0,0,0,87,324,165,244,102,296,001
272,Bernalillo,Precinct 386,39,236,29,16,0,0,0,0,52,268,118,189,84,222,001
273,Bernalillo,Precinct 387,67,274,30,0,0,0,0,0,65,306,174,195,126,240,001
274,Bernalillo,Precinct 400,95,136,36,6,0,0,0,0,106,164,149,120,127,138,001
275,Bernalillo,Precinct 401,144,249,64,10,0,0,0,0,152,296,261,189,193,253,001
276,Bernalillo,Precinct 402,165,236,59,0,10,0,0,0,162,294,289,172,228,225,001
277,Bernalillo,Precinct 403,120,216,40,8,0,0,0,0,112,258,185,187,143,222,001
278,Bernalillo,Precinct 404,199,286,63,0,0,0,0,0,203,338,328,215,272,263,001
279,Bernalillo,Precinct 405,132,268,43,12,0,0,0,0,138,292,201,229,167,251,001
280,Bernalillo,Precinct 406,108,181,38,0,0,0,0,0,117,208,168,158,147,170,001
281,Bernalillo,Precinct 407,282,325,81,0,0,0,0,0,275,387,407,258,352,302,001
282,Bernalillo,Precinct 408,194,194,63,0,0,0,0,0,198,250,288,156,261,170,001
283,Bernalillo,Precinct 409,246,436,102,17,11,0,0,0,270,504,407,358,333,421,001
284,Bernalillo,Precinct 410,209,216,54,0,0,0,0,0,193,263,279,167,235,205,001
